dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1.1e-05,2,0,1,2,0,496,0,90909.0902,254,0,180363632.0,0.0,0,0,0.011000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,248,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0,0
8e-06,2,0,1,2,0,1762,0,125000.0003,254,0,881000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,881,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0,0
5e-06,2,0,1,2,0,1068,0,200000.0051,254,0,854400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,534,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0,0
6e-06,2,0,1,2,0,900,0,166666.6608,254,0,600000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,450,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,0,0
1e-05,2,0,1,2,0,2126,0,100000.0025,254,0,850400000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1063,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,0,0
3e-06,2,0,1,2,0,784,0,333333.3215,254,0,1045333312.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,392,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,0,0
6e-06,2,0,1,2,0,1960,0,166666.6608,254,0,1306666624.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,980,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,0,0
2.8000000000000003e-05,2,0,1,2,0,1384,0,35714.28522,254,0,197714288.0,0.0,0,0,0.027999999999999997,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,692,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0,0
0.0,0,0,1,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.687999999995,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0,0
0.0,0,0,1,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.712,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0,0
0.0,0,0,1,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.687999999995,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0,0
0.0,0,0,1,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.712,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0,0
4e-06,2,0,1,2,0,1454,0,250000.0006,254,0,1454000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,727,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0,0
7.000000000000001e-06,2,0,1,2,0,2062,0,142857.1409,254,0,1178285696.0,0.0,0,0,0.006999999999999999,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1031,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,0,0
1.1e-05,2,0,1,2,0,2040,0,90909.0902,254,0,741818176.0,0.0,0,0,0.011000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1020,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,0,0
4e-06,2,0,1,2,0,1052,0,250000.0006,254,0,1052000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,526,0,0,0,3,2,1,1,1,3,0,0,0,2,3,0,0,0
